area(sq.m),yield,GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,elevation,slope,soc,soilph,Groundnut,Maize,Onion,Potato,Sorghum,Sweet Potato,Tomato,Belg,Meher
65.77,39.46,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
79.95,47.97,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
586.96,516.52,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754.06,1052.44,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
771.13,678.59,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
519.22,456.91,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201.31,177.15,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
583.66,350.2,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
356.81,199.81,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
984.15,551.12,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134.65,192.55,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100.05,65.03,0.5114159292035398,0.5171681415929203,0.5009734513274336,60.260088495575225,21.367522123893806,85.4058407079646,68.37150442477876,11.585840707964602,2.207787610619469,26.70530973451327,14.830088495575222,11.875486725663718,2.989115044247788,1539.537518,7.432373923,2.955234039,7.226839817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
